balance,equity,dayPL,usdMr,usableMargin,date
18618.35,18618.35,-0.79,0,18618.35,2022-02-03 08:46:33.376687+00:00
18618.35,18618.35,-0.79,0,18618.35,2022-02-03 08:50:54.744695+00:00
18618.35,18618.35,-0.79,0,18618.35,2022-02-03 09:00:09.010237+00:00
18618.35,18604.64757,-14.49243,117.25,18487.39757,2022-02-03 09:10:02.164316+00:00
18618.35,18604.38265,-14.75735,117.25,18487.13265,2022-02-03 09:20:02.529124+00:00
18618.35,18603.32644,-15.81356,117.25,18486.07644,2022-02-03 09:45:39.699170+00:00
18618.35,18599.59096,-19.54904,117.25,18482.34096,2022-02-03 10:00:08.657726+00:00
18618.35,18602.20054,-16.93946,117.25,18484.95054,2022-02-03 10:10:02.236281+00:00
18618.35,18597.27676,-21.86324,117.25,18480.02676,2022-02-03 10:20:03.806161+00:00
18618.35,18598.15879,-20.98121,117.25,18480.90879,2022-02-03 10:30:08.538202+00:00
18618.35,18593.51384,-25.62616,117.25,18476.26384,2022-02-03 10:40:03.538630+00:00
18618.35,18587.88619,-31.25381,117.25,18470.63619,2022-02-03 10:50:05.360297+00:00
18618.35,18588.41086,-30.72914,117.25,18471.16086,2022-02-03 11:00:13.884102+00:00
18618.35,18597.29565,-21.84435,117.25,18480.04565,2022-02-03 11:10:07.297009+00:00
18614.94,18585.04885,-34.09115,117.25,18467.79885,2022-02-03 11:35:18.613012+00:00
18614.94,18597.8277,-21.3123,117.25,18480.5777,2022-02-03 12:00:08.069697+00:00
18614.94,18613.41321,-5.72679,117.25,18496.16321,2022-02-03 13:00:07.854400+00:00
18614.94,18606.04835,-13.09165,117.25,18488.79835,2022-02-03 13:10:02.490693+00:00
18614.94,18603.48519,-15.65481,117.25,18486.23519,2022-02-03 13:27:16.792610+00:00
18599.83,18641.96692,22.82692,117.25,18524.71692,2022-02-03 14:00:08.516406+00:00
18599.83,18645.65229,26.51229,117.25,18528.40229,2022-02-03 14:10:10.796670+00:00
18599.83,18652.00803,32.86803,117.25,18534.75803,2022-02-03 15:00:07.470902+00:00
18589.48,18662.45343,43.31343,117.25,18545.20343,2022-02-03 15:10:10.912699+00:00
18574.91,18695.7625,76.6225,117.25,18578.5125,2022-02-03 16:00:08.850150+00:00
18590.91,18696.41966,77.27966,117.25,18579.16966,2022-02-03 16:10:11.225193+00:00
18590.91,18683.33277,64.19277,117.25,18566.08277,2022-02-03 17:00:08.871422+00:00
18594.78,18677.97468,58.83468,117.25,18560.72468,2022-02-03 17:10:03.082218+00:00
18594.78,18682.63629,63.49629,117.25,18565.38629,2022-02-03 17:15:09.583383+00:00
18594.78,18693.81147,74.67147,117.25,18576.56147,2022-02-03 18:00:08.451533+00:00
18590.97,18676.17578,57.03578,117.25,18558.92578,2022-02-03 18:10:02.276435+00:00
18590.97,18678.71591,59.57591,117.25,18561.46591,2022-02-03 18:20:04.980994+00:00
18590.97,18684.40928,65.26928,117.25,18567.15928,2022-02-03 18:30:05.307812+00:00
18590.97,18698.56071,79.42071,117.25,18581.31071,2022-02-03 18:40:02.181611+00:00
18590.97,18695.24217,76.10217,117.25,18577.99217,2022-02-03 18:50:02.185860+00:00
18590.97,18699.56892,80.42892,117.25,18582.31892,2022-02-03 19:00:14.980050+00:00
18590.97,18670.38409,51.24409,117.25,18553.13409,2022-02-03 20:00:08.088342+00:00
18590.97,18669.36059,50.22059,117.25,18552.11059,2022-02-03 20:10:02.964198+00:00
18590.97,18680.43046,61.29046,117.25,18563.18046,2022-02-03 20:28:07.444757+00:00
18590.97,18658.22617,39.08617,117.25,18540.97617,2022-02-03 21:00:09.418651+00:00
18590.97,18670.52387,51.38387,117.25,18553.27387,2022-02-03 21:10:11.204159+00:00
18582.34,18689.0065,69.8665,117.25,18571.7565,2022-02-03 21:20:06.173813+00:00
18582.34,18685.52312,66.38312,117.25,18568.27312,2022-02-03 21:30:32.196772+00:00
18582.34,18671.73747,52.59747,117.25,18554.48747,2022-02-03 22:00:07.417560+00:00
18582.34,18669.05799,-3.36201,117.25,18551.80799,2022-02-03 22:10:02.125032+00:00
18582.31,18669.39375,-3.02625,117.25,18552.14375,2022-02-03 22:20:03.235231+00:00
18582.31,18676.93781,4.51781,117.25,18559.68781,2022-02-03 22:30:31.465057+00:00
18582.31,18674.76808,2.34808,117.25,18557.51808,2022-02-03 22:40:03.281529+00:00
18582.31,18679.11414,6.69414,117.25,18561.86414,2022-02-03 22:50:02.118530+00:00
18582.31,18689.36265,16.94265,117.25,18572.11265,2022-02-03 23:00:14.461667+00:00
18582.31,18692.152,19.732,117.25,18574.902,2022-02-03 23:10:06.975044+00:00
18582.31,18702.79173,30.37173,117.25,18585.54173,2022-02-03 23:20:08.086840+00:00
18582.31,18697.20441,24.78441,117.25,18579.95441,2022-02-03 23:30:25.529117+00:00
18582.31,18695.23014,22.81014,117.25,18577.98014,2022-02-03 23:40:07.037396+00:00
18582.31,18695.58585,23.16585,117.25,18578.33585,2022-02-03 23:50:06.961462+00:00
