accountId,balance,usdMr,mc,mcDate,accountName,hedging,usableMarginPerc,equity,usableMargin,dayPL,grossPL,date
1747157,11222.49,1609.7,N,,1001747157,Y,90.74021,17383.75623,15774.05623,368.68623,6161.26623,2022-08-12 06:20:01.653795
1747157,11222.49,1609.7,N,,1001747157,Y,91.1008,18088.15096,16478.45096,1073.08096,6865.66096,2022-08-12 08:20:00.540003
1747157,11222.49,1609.7,N,,1001747157,Y,91.07029,18026.33348,16416.63348,1011.26348,6803.84348,2022-08-12 09:20:00.750584
1747157,11222.49,1609.7,N,,1001747157,Y,90.9075,17703.60416,16093.90416,688.53416,6481.11416,2022-08-12 10:20:00.890812
1747157,11222.49,1609.7,N,,1001747157,Y,90.67285,17258.22575,15648.52575,243.15575,6035.73575,2022-08-12 11:20:02.379721
1747157,11222.49,1609.7,N,,1001747157,Y,90.79077,17479.20895,15869.50895,464.13895,6256.71895,2022-08-12 12:20:00.827030
1747157,11077.09,1609.7,N,,1001747157,Y,90.78217,17462.89951,15853.19951,447.82951,6385.80951,2022-08-12 13:20:02.202940
1747157,11077.09,1609.7,N,,1001747157,Y,90.74923,17400.71451,15791.01451,385.64451,6323.62451,2022-08-12 14:20:02.078948
1747157,11077.09,1609.7,N,,1001747157,Y,90.87263,17635.9739,16026.2739,620.9039,6558.8839,2022-08-12 15:20:00.222193
1747157,11027.81,1610.3,N,,1001747157,Y,90.99682,17885.90649,16275.60649,870.83649,6858.09649,2022-08-12 16:20:00.431724
1747157,11027.81,1610.3,N,,1001747157,Y,91.17014,18236.98344,16626.68344,1221.91344,7209.17344,2022-08-12 17:20:00.616590
1747157,11027.81,1610.3,N,,1001747157,Y,91.27238,18450.62012,16840.32012,1435.55012,7422.81012,2022-08-12 18:20:00.895948
1747157,11027.81,1610.3,N,,1001747157,Y,91.40853,18743.01155,17132.71155,1727.94155,7715.20155,2022-08-12 19:20:01.636758
1747157,11131.41,1617.9,N,,1001747157,Y,91.41928,18855.05888,17237.15888,1839.98888,7723.64888,2022-08-12 20:20:03.798928
1747157,11283.52,1652.4,N,,1001747157,Y,91.14349,18657.46291,17005.06291,-135.91709,7373.94291,2022-08-14 23:20:00.500061
1747157,11295.72,1669.8,N,,1001747157,Y,91.04586,18648.36338,16978.56338,-145.01662,7352.64338,2022-08-15 00:20:00.827187
1747157,11798.03,1677.05,N,,1001747157,Y,90.84076,18309.9181,16632.8681,-483.4619,6511.8881,2022-08-15 01:20:01.562130
1747157,11785.07,1677.05,N,,1001747157,Y,90.84368,18315.75449,16638.70449,-477.62551,6530.68449,2022-08-15 02:20:01.730501
1747157,11785.07,1677.05,N,,1001747157,Y,90.9673,18566.43517,16889.38517,-226.94483,6781.36517,2022-08-15 03:20:01.678077
1747157,11785.07,1677.05,N,,1001747157,Y,90.94794,18526.72253,16849.67253,-266.65747,6741.65253,2022-08-15 04:20:00.780330
1747157,11783.58,1677.05,N,,1001747157,Y,90.8784,18385.48751,16708.43751,-407.89249,6601.90751,2022-08-15 05:20:01.099954
1747157,11783.58,1677.05,N,,1001747157,Y,90.80984,18248.33111,16571.28111,-545.04889,6464.75111,2022-08-15 06:20:00.225236
1747157,12664.39,1683.875,N,,1001747157,Y,90.45059,17633.28447,15949.40947,-1160.09553,4968.89447,2022-08-15 07:20:00.709261
1747157,12587.03,1671.6,N,,1001747157,Y,90.13496,16944.67908,15273.07908,-1848.70092,4357.64908,2022-08-15 09:20:00.947979
1747157,12455.83,1664.6,N,,1001747157,Y,90.19128,16970.61024,15306.01024,-1822.76976,4514.78024,2022-08-15 10:20:01.334699
1747157,12455.83,1664.6,N,,1001747157,Y,90.16069,16917.86122,15253.26122,-1875.51878,4462.03122,2022-08-15 11:20:00.529499
1747157,12455.83,1664.6,N,,1001747157,Y,89.97962,16612.13943,14947.53943,-2181.24057,4156.30943,2022-08-15 12:20:01.108148
1747157,12455.83,1664.6,N,,1001747157,Y,89.84672,16394.69412,14730.09412,-2398.68588,3938.86412,2022-08-15 13:20:00.397998
1747157,12455.83,1664.6,N,,1001747157,Y,90.25607,17083.45395,15418.85395,-1709.92605,4627.62395,2022-08-15 15:20:01.692407
1747157,12455.83,1664.6,N,,1001747157,Y,90.73149,17959.73331,16295.13331,-833.64669,5503.90331,2022-08-15 16:20:01.341258
1747157,12455.83,1664.6,N,,1001747157,Y,90.73939,17975.06413,16310.46413,-818.31587,5519.23413,2022-08-15 17:20:01.939151
1747157,12455.83,1664.6,N,,1001747157,Y,90.72978,17956.42927,16291.82927,-836.95073,5500.59927,2022-08-15 18:20:01.857460
