balance,equity,dayPL,usdMr,usableMargin,date
18987.05,18968.17541,-18.87459,121,18847.17541,2021-12-27 00:00:07.707610+00:00
18987.05,18964.49139,-22.55861,121,18843.49139,2021-12-27 00:10:03.297558+00:00
18987.05,18966.95374,-20.09626,121,18845.95374,2021-12-27 00:20:03.737484+00:00
18987.05,18956.72894,-30.32106,121,18835.72894,2021-12-27 00:30:15.353999+00:00
18987.05,18963.54097,-23.50903,121,18842.54097,2021-12-27 00:40:03.763259+00:00
18981.75,18973.3987,-13.6513,121,18852.3987,2021-12-27 00:50:03.252228+00:00
18981.75,18969.74398,-17.30602,121,18848.74398,2021-12-27 01:00:12.526849+00:00
18981.75,18957.60628,-29.44372,121,18836.60628,2021-12-27 01:10:06.775319+00:00
18981.75,18960.37878,-26.67122,121,18839.37878,2021-12-27 01:20:07.104409+00:00
18981.75,18952.75075,-34.29925,121,18831.75075,2021-12-27 01:30:10.395721+00:00
18981.75,18963.62316,-23.42684,121,18842.62316,2021-12-27 01:40:07.252472+00:00
18981.75,18958.9052,-28.1448,121,18837.9052,2021-12-27 01:50:06.560669+00:00
18981.75,18960.85445,-26.19555,121,18839.85445,2021-12-27 02:00:12.727350+00:00
18974.28,18958.29238,-28.75762,121,18837.29238,2021-12-27 02:10:07.039681+00:00
18974.28,18950.34576,-36.70424,121,18829.34576,2021-12-27 02:20:08.137904+00:00
18974.28,18949.22681,-37.82319,121,18828.22681,2021-12-27 02:30:15.329368+00:00
18974.28,18944.93694,-42.11306,121,18823.93694,2021-12-27 02:40:08.120221+00:00
18967.88,18943.89185,-43.15815,121,18822.89185,2021-12-27 02:50:07.020205+00:00
18967.88,18944.84702,-42.20298,121,18823.84702,2021-12-27 03:00:13.304983+00:00
18956.94,18944.07528,-42.97472,121,18823.07528,2021-12-27 03:10:07.326260+00:00
18944.13,18938.13357,-48.91643,121,18817.13357,2021-12-27 03:20:08.410493+00:00
18944.13,18933.18662,-53.86338,121,18812.18662,2021-12-27 03:30:20.727505+00:00
18944.13,18937.01783,-50.03217,121,18816.01783,2021-12-27 03:40:08.412018+00:00
18944.13,18934.4313,-52.6187,121,18813.4313,2021-12-27 03:50:07.276169+00:00
18944.13,18934.67756,-52.37244,121,18813.67756,2021-12-27 04:00:12.266520+00:00
18941.5,18929.5645,-57.4855,121,18808.5645,2021-12-27 04:10:06.695072+00:00
18941.5,18931.04213,-56.00787,121,18810.04213,2021-12-27 04:20:07.826053+00:00
18941.5,18926.04323,-61.00677,121,18805.04323,2021-12-27 04:30:31.011483+00:00
18938,18925.02351,-62.02649,121,18804.02351,2021-12-27 04:40:07.785125+00:00
18938,18924.83184,-62.21816,121,18803.83184,2021-12-27 04:50:06.671623+00:00
18938,18922.0748,-64.9752,121,18801.0748,2021-12-27 05:00:12.840852+00:00
18937.5,18918.72416,-68.32584,121,18797.72416,2021-12-27 05:10:06.862632+00:00
18937.5,18917.30915,-69.74085,121,18796.30915,2021-12-27 05:20:07.980654+00:00
18937.5,18921.11933,-65.93067,121,18800.11933,2021-12-27 05:30:30.946533+00:00
18937.5,18922.62568,-64.42432,121,18801.62568,2021-12-27 05:40:07.477271+00:00
18937.5,18918.39251,-68.65749,121,18797.39251,2021-12-27 05:50:06.904537+00:00
18937.5,18908.24866,-78.80134,121,18787.24866,2021-12-27 06:00:12.519026+00:00
18934.05,18906.75153,-80.29847,121,18785.75153,2021-12-27 06:10:07.048238+00:00
18907.98,18902.00232,-85.04768,121,18781.00232,2021-12-27 06:20:08.130168+00:00
18907.98,18898.87164,-88.17836,121,18777.87164,2021-12-27 06:30:25.743215+00:00
18907.98,18893.51527,-93.53473,121,18772.51527,2021-12-27 06:40:08.376052+00:00
