balance,equity,dayPL,usdMr,usableMargin,date
18580.62,18601.97669,8.93669,117.25,18484.72669,2022-02-08 00:00:23.447404+00:00
18579.34,18611.54499,18.50499,117.25,18494.29499,2022-02-08 01:00:16.113859+00:00
18579.34,18611.1453,18.1053,117.25,18493.8953,2022-02-08 01:10:02.851966+00:00
18579.34,18616.75203,23.71203,117.25,18499.50203,2022-02-08 02:00:15.862317+00:00
18579.34,18618.85261,25.81261,117.25,18501.60261,2022-02-08 02:10:03.042469+00:00
18579.34,18611.71645,18.67645,117.25,18494.46645,2022-02-08 03:00:10.499357+00:00
18579.34,18611.63009,18.59009,117.25,18494.38009,2022-02-08 03:00:39.295632+00:00
18579.34,18609.57883,16.53883,117.25,18492.32883,2022-02-08 03:10:27.441829+00:00
18579.34,18609.87926,16.83926,117.25,18492.62926,2022-02-08 04:00:15.865233+00:00
18579.34,18610.09006,17.05006,117.25,18492.84006,2022-02-08 04:10:02.420150+00:00
18579.34,18607.12009,14.08009,117.25,18489.87009,2022-02-08 04:20:04.539317+00:00
18579.34,18603.74505,10.70505,117.25,18486.49505,2022-02-08 04:30:32.579906+00:00
18579.34,18602.7194,9.6794,117.25,18485.4694,2022-02-08 04:40:04.733445+00:00
18597.3,18602.24166,9.20166,117.25,18484.99166,2022-02-08 05:00:15.256697+00:00
18597.3,18601.22627,8.18627,117.25,18483.97627,2022-02-08 06:00:15.572495+00:00
18584.57,18603.35934,10.31934,117.25,18486.10934,2022-02-08 06:10:02.754731+00:00
18584.57,18601.21097,8.17097,117.25,18483.96097,2022-02-08 06:20:02.854989+00:00
18584.57,18599.81174,6.77174,117.25,18482.56174,2022-02-08 07:00:15.737648+00:00
18585.77,18609.62785,16.58785,117.25,18492.37785,2022-02-08 08:00:15.328691+00:00
18585.77,18607.01525,13.97525,117.25,18489.76525,2022-02-08 08:10:02.367630+00:00
18585.77,18609.89275,16.85275,117.25,18492.64275,2022-02-08 08:28:40.213852+00:00
18585.77,18610.19668,17.15668,117.25,18492.94668,2022-02-08 08:38:27.351860+00:00
18585.77,18604.27364,11.23364,117.25,18487.02364,2022-02-08 08:48:29.686912+00:00
18585.77,18608.80196,15.76196,117.25,18491.55196,2022-02-08 08:58:27.409467+00:00
18585.77,18606.99372,13.95372,117.25,18489.74372,2022-02-08 09:00:21.556055+00:00
18585.77,18611.86227,18.82227,117.25,18494.61227,2022-02-08 09:10:08.043041+00:00
18585.77,18613.21347,20.17347,117.25,18495.96347,2022-02-08 09:20:10.383315+00:00
18585.77,18607.94178,14.90178,117.25,18490.69178,2022-02-08 09:30:21.343823+00:00
18585.77,18611.59842,18.55842,117.25,18494.34842,2022-02-08 09:40:10.599633+00:00
18585.77,18620.15731,27.11731,117.25,18502.90731,2022-02-08 09:50:08.084924+00:00
18585.77,18612.62351,19.58351,117.25,18495.37351,2022-02-08 10:00:21.772429+00:00
18585.77,18609.63235,16.59235,117.25,18492.38235,2022-02-08 10:10:08.120930+00:00
18585.77,18603.34444,10.30444,117.25,18486.09444,2022-02-08 10:20:10.543507+00:00
18585.77,18585.91294,-7.12706,117.25,18468.66294,2022-02-08 10:30:31.984738+00:00
18585.77,18591.65307,-1.38693,117.25,18474.40307,2022-02-08 10:40:10.386804+00:00
18585.77,18591.39068,-1.64932,117.25,18474.14068,2022-02-08 10:45:21.517942+00:00
