balance,equity,dayPL,usdMr,usableMargin,date
18565.71,18626.53064,5.82064,117.25,18509.28064,2022-02-09 00:00:15.256237+00:00
18566.49,18630.11056,9.40056,117.25,18512.86056,2022-02-09 00:02:33.161210+00:00
18566.49,18628.3611,7.6511,117.25,18511.1111,2022-02-09 00:12:21.240308+00:00
18566.49,18626.09749,5.38749,117.25,18508.84749,2022-02-09 00:22:23.476847+00:00
18566.49,18621.35065,0.64065,117.25,18504.10065,2022-02-09 00:32:21.343059+00:00
18566.49,18624.59199,3.88199,117.25,18507.34199,2022-02-09 00:42:21.316990+00:00
18566.49,18630.33167,9.62167,117.25,18513.08167,2022-02-09 00:52:21.332422+00:00
18566.49,18624.5994,3.8894,117.25,18507.3494,2022-02-09 01:00:20.863689+00:00
18566.49,18620.95155,0.24155,117.25,18503.70155,2022-02-09 01:10:07.030263+00:00
18566.49,18617.99813,-2.71187,117.25,18500.74813,2022-02-09 01:20:09.260702+00:00
18566.49,18622.16544,1.45544,117.25,18504.91544,2022-02-09 01:30:32.591017+00:00
18566.49,18629.67946,8.96946,117.25,18512.42946,2022-02-09 02:00:15.460928+00:00
18618.31,18618.31,-2.4,0,18618.31,2022-02-09 02:27:09.398100+00:00
18618.31,18616.29391,-4.41609,117.25,18499.04391,2022-02-09 02:50:07.466879+00:00
18618.31,18610.50778,-10.20222,117.25,18493.25778,2022-02-09 03:00:20.412061+00:00
18618.31,18619.37132,-1.33868,117.25,18502.12132,2022-02-09 03:10:06.889204+00:00
18618.31,18623.91821,3.20821,117.25,18506.66821,2022-02-09 03:20:09.021218+00:00
18618.31,18621.67451,0.96451,117.25,18504.42451,2022-02-09 03:30:31.187673+00:00
18614.06,18621.82756,1.11756,117.25,18504.57756,2022-02-09 03:40:07.835638+00:00
18614.06,18623.66313,2.95313,117.25,18506.41313,2022-02-09 03:50:06.760822+00:00
18614.06,18616.95909,-3.75091,117.25,18499.70909,2022-02-09 04:00:20.397321+00:00
18614.06,18629.21046,8.50046,117.25,18511.96046,2022-02-09 04:10:07.266847+00:00
18614.06,18629.09662,8.38662,117.25,18511.84662,2022-02-09 04:20:06.938795+00:00
18614.06,18631.49077,10.78077,117.25,18514.24077,2022-02-09 04:30:33.349882+00:00
18614.06,18628.10084,7.39084,117.25,18510.85084,2022-02-09 04:40:09.258775+00:00
18614.06,18630.59022,9.88022,117.25,18513.34022,2022-02-09 04:50:07.074019+00:00
18614.06,18632.46752,11.75752,117.25,18515.21752,2022-02-09 05:00:22.444279+00:00
18611.52,18630.70913,9.99913,117.25,18513.45913,2022-02-09 05:02:38.618853+00:00
18611.52,18629.05246,8.34246,117.25,18511.80246,2022-02-09 05:12:25.867191+00:00
18608.6,18618.92244,-1.78756,117.25,18501.67244,2022-02-09 06:00:15.893665+00:00
18608.6,18618.82928,-1.88072,117.25,18501.57928,2022-02-09 06:10:03.153197+00:00
18608.6,18615.58415,-5.12585,117.25,18498.33415,2022-02-09 06:20:05.453089+00:00
18608.6,18618.47426,-2.23574,117.25,18501.22426,2022-02-09 06:38:40.279581+00:00
18608.6,18614.10139,-6.60861,117.25,18496.85139,2022-02-09 06:48:27.468771+00:00
18608.6,18615.24804,-5.46196,117.25,18497.99804,2022-02-09 07:00:14.984395+00:00
18608.6,18615.69346,-5.01654,117.25,18498.44346,2022-02-09 07:10:02.312307+00:00
18608.6,18601.34435,-19.36565,117.25,18484.09435,2022-02-09 08:00:15.384150+00:00
18598.3,18601.85376,-18.85624,117.25,18484.60376,2022-02-09 08:10:02.494926+00:00
