balance,equity,dayPL,usdMr,usableMargin,date
18987.05,18987.05,0,0,18987.05,2021-12-26 21:16:06.092728+00:00
18987.05,18987.05,0,0,18987.05,2021-12-26 23:00:07.205824+00:00
18987.05,18965.27624,-21.77376,121,18844.27624,2021-12-26 23:10:02.594597+00:00
18987.05,18961.40022,-25.64978,121,18840.40022,2021-12-26 23:20:02.578226+00:00
18987.05,18953.80784,-33.24216,121,18832.80784,2021-12-26 23:30:25.520070+00:00
18987.05,18963.31578,-23.73422,121,18842.31578,2021-12-26 23:40:03.230259+00:00
18987.05,18964.51468,-22.53532,121,18843.51468,2021-12-26 23:50:02.748070+00:00
