balance,equity,dayPL,usdMr,usableMargin,date
18566.68,18617.76313,2.96313,117.25,18500.51313,2022-02-10 00:00:24.044883+00:00
18566.68,18622.83864,8.03864,117.25,18505.58864,2022-02-10 00:10:09.154824+00:00
18566.68,18622.56625,7.76625,117.25,18505.31625,2022-02-10 00:20:09.194046+00:00
18566.68,18627.64358,12.84358,117.25,18510.39358,2022-02-10 00:30:31.082959+00:00
18566.68,18620.92245,6.12245,117.25,18503.67245,2022-02-10 00:40:09.162718+00:00
18566.68,18611.26324,-3.53676,117.25,18494.01324,2022-02-10 00:50:09.183661+00:00
18566.68,18610.65265,-4.14735,117.25,18493.40265,2022-02-10 01:00:22.541559+00:00
18566.68,18607.71392,-7.08608,117.25,18490.46392,2022-02-10 01:10:08.056654+00:00
18566.68,18598.57818,-16.22182,117.25,18481.32818,2022-02-10 02:00:15.498382+00:00
18566.68,18595.31493,-19.48507,117.25,18478.06493,2022-02-10 02:10:02.114269+00:00
18566.68,18608.97013,-5.82987,117.25,18491.72013,2022-02-10 03:00:14.713865+00:00
18566.68,18601.60868,-13.19132,117.25,18484.35868,2022-02-10 03:10:34.903984+00:00
18566.68,18601.28708,-13.51292,117.25,18484.03708,2022-02-10 03:15:15.727580+00:00
18566.68,18608.89006,-5.90994,117.25,18491.64006,2022-02-10 03:25:02.358799+00:00
18566.68,18608.78228,-6.01772,117.25,18491.53228,2022-02-10 03:30:21.156392+00:00
18566.68,18611.67906,-3.12094,117.25,18494.42906,2022-02-10 03:40:07.061294+00:00
18566.68,18613.74311,-1.05689,117.25,18496.49311,2022-02-10 03:45:21.255502+00:00
18566.68,18612.12928,-2.67072,117.25,18494.87928,2022-02-10 03:55:07.050782+00:00
18566.68,18613.0636,-1.7364,117.25,18495.8136,2022-02-10 04:00:22.100873+00:00
18566.68,18618.62834,3.82834,117.25,18501.37834,2022-02-10 04:10:07.773126+00:00
18566.68,18616.94797,2.14797,117.25,18499.69797,2022-02-10 04:15:21.512190+00:00
18566.68,18619.69191,4.89191,117.25,18502.44191,2022-02-10 04:25:07.216741+00:00
18566.68,18623.74088,8.94088,117.25,18506.49088,2022-02-10 04:30:21.959612+00:00
18566.68,18628.99657,14.19657,117.25,18511.74657,2022-02-10 04:40:07.256870+00:00
18566.68,18626.49221,11.69221,117.25,18509.24221,2022-02-10 04:45:21.613464+00:00
18566.68,18622.0943,7.2943,117.25,18504.8443,2022-02-10 04:55:08.157062+00:00
18566.68,18623.00172,8.20172,117.25,18505.75172,2022-02-10 05:00:21.646696+00:00
18566.68,18625.40169,10.60169,117.25,18508.15169,2022-02-10 05:10:07.387604+00:00
18566.68,18624.59455,9.79455,117.25,18507.34455,2022-02-10 05:15:21.798277+00:00
18566.68,18620.17604,5.37604,117.25,18502.92604,2022-02-10 05:25:07.791580+00:00
18566.68,18623.13494,8.33494,117.25,18505.88494,2022-02-10 05:30:20.782537+00:00
18566.68,18624.44769,9.64769,117.25,18507.19769,2022-02-10 05:40:06.817015+00:00
18566.68,18626.26629,11.46629,117.25,18509.01629,2022-02-10 05:45:20.830017+00:00
18566.68,18617.57969,2.77969,117.25,18500.32969,2022-02-10 05:55:07.157626+00:00
18566.68,18621.63594,6.83594,117.25,18504.38594,2022-02-10 06:00:20.521580+00:00
18575.51,18621.94983,7.14983,117.25,18504.69983,2022-02-10 06:15:20.086527+00:00
18575.51,18619.08455,4.28455,117.25,18501.83455,2022-02-10 06:25:07.033198+00:00
18575.51,18620.16518,5.36518,117.25,18502.91518,2022-02-10 06:30:21.541003+00:00
18575.51,18621.01211,6.21211,117.25,18503.76211,2022-02-10 06:40:07.807883+00:00
18575.51,18622.02546,7.22546,117.25,18504.77546,2022-02-10 06:45:21.010951+00:00
18575.51,18620.61938,5.81938,117.25,18503.36938,2022-02-10 06:55:07.140585+00:00
18575.51,18619.38942,4.58942,117.25,18502.13942,2022-02-10 07:00:22.978226+00:00
18575.51,18618.36667,3.56667,117.25,18501.11667,2022-02-10 07:02:34.692818+00:00
18575.51,18615.632,0.832,117.25,18498.382,2022-02-10 07:12:21.977559+00:00
18575.51,18615.98087,1.18087,117.25,18498.73087,2022-02-10 07:15:21.407583+00:00
18575.51,18615.38481,0.58481,117.25,18498.13481,2022-02-10 07:25:07.132407+00:00
18575.51,18616.74936,1.94936,117.25,18499.49936,2022-02-10 07:30:21.648044+00:00
18575.51,18617.69746,2.89746,117.25,18500.44746,2022-02-10 07:45:16.105274+00:00
18572.75,18614.54532,-0.25468,117.25,18497.29532,2022-02-10 07:55:02.756413+00:00
18572.75,18611.37701,-3.42299,117.25,18494.12701,2022-02-10 08:00:21.627120+00:00
18558.53,18616.82378,2.02378,117.25,18499.57378,2022-02-10 08:10:07.147960+00:00
18558.53,18618.62467,3.82467,117.25,18501.37467,2022-02-10 08:15:22.076873+00:00
18558.53,18615.02204,0.22204,117.25,18497.77204,2022-02-10 08:25:08.641222+00:00
18558.53,18606.05648,-8.74352,117.25,18488.80648,2022-02-10 08:30:15.431623+00:00
18558.53,18603.5078,-11.2922,117.25,18486.2578,2022-02-10 08:40:02.517939+00:00
18558.53,18598.05867,-16.74133,117.25,18480.80867,2022-02-10 08:45:23.343068+00:00
18558.53,18603.61811,-11.18189,117.25,18486.36811,2022-02-10 08:55:08.057720+00:00
18558.53,18601.74814,-13.05186,117.25,18484.49814,2022-02-10 09:00:22.477342+00:00
18558.53,18614.69144,-0.10856,117.25,18497.44144,2022-02-10 09:10:07.422163+00:00
18558.53,18615.19043,0.39043,117.25,18497.94043,2022-02-10 09:15:22.516167+00:00
18558.53,18622.16068,7.36068,117.25,18504.91068,2022-02-10 09:25:08.700961+00:00
18558.53,18631.21354,16.41354,117.25,18513.96354,2022-02-10 09:30:21.516198+00:00
18558.53,18625.1356,10.3356,117.25,18507.8856,2022-02-10 09:40:07.336649+00:00
18558.53,18625.58186,10.78186,117.25,18508.33186,2022-02-10 09:45:23.157741+00:00
18558.53,18618.45265,3.65265,117.25,18501.20265,2022-02-10 09:55:08.075219+00:00
18558.53,18614.54993,-0.25007,117.25,18497.29993,2022-02-10 10:00:23.589142+00:00
18558.53,18622.70949,7.90949,117.25,18505.45949,2022-02-10 10:10:08.476812+00:00
18558.53,18621.21888,6.41888,117.25,18503.96888,2022-02-10 10:15:21.263857+00:00
18558.53,18617.7001,2.9001,117.25,18500.4501,2022-02-10 10:25:07.692725+00:00
18558.53,18616.30001,1.50001,117.25,18499.05001,2022-02-10 10:30:22.147194+00:00
18558.53,18631.98038,17.18038,117.25,18514.73038,2022-02-10 10:40:08.323059+00:00
18558.53,18635.1495,20.3495,117.25,18517.8995,2022-02-10 10:45:22.766623+00:00
18558.53,18634.47663,19.67663,117.25,18517.22663,2022-02-10 10:55:08.568358+00:00
18558.53,18632.83777,18.03777,117.25,18515.58777,2022-02-10 11:00:22.893156+00:00
18558.53,18632.77147,17.97147,117.25,18515.52147,2022-02-10 11:10:07.596379+00:00
18558.53,18640.7199,25.9199,117.25,18523.4699,2022-02-10 11:15:27.239262+00:00
18558.53,18638.73377,23.93377,117.25,18521.48377,2022-02-10 11:25:13.833869+00:00
18558.53,18630.16775,15.36775,117.25,18512.91775,2022-02-10 11:30:20.906128+00:00
18558.53,18631.91036,17.11036,117.25,18514.66036,2022-02-10 11:40:07.234169+00:00
18558.53,18632.57577,17.77577,117.25,18515.32577,2022-02-10 11:45:22.004273+00:00
18554.15,18630.12867,15.32867,117.25,18512.87867,2022-02-10 11:55:07.204595+00:00
