balance,equity,dayPL,usdMr,usableMargin,date
18582.31,18688.21879,15.79879,117.25,18570.96879,2022-02-04 00:00:16.567931+00:00
18582.31,18703.63491,31.21491,117.25,18586.38491,2022-02-04 00:10:11.907165+00:00
18582.31,18701.23653,28.81653,117.25,18583.98653,2022-02-04 00:20:13.031926+00:00
18582.31,18704.8863,32.4663,117.25,18587.6363,2022-02-04 00:30:25.730877+00:00
18582.31,18705.70093,33.28093,117.25,18588.45093,2022-02-04 00:40:11.959329+00:00
18582.31,18707.09648,34.67648,117.25,18589.84648,2022-02-04 00:50:11.956468+00:00
18582.31,18705.74772,33.32772,117.25,18588.49772,2022-02-04 01:00:14.318333+00:00
18582.31,18705.52342,33.10342,117.25,18588.27342,2022-02-04 01:24:02.437698+00:00
18582.31,18682.18639,9.76639,117.25,18564.93639,2022-02-04 02:00:07.486746+00:00
18578.2,18695.94509,23.52509,117.25,18578.69509,2022-02-04 02:25:38.620025+00:00
18578.2,18703.03023,30.61023,117.25,18585.78023,2022-02-04 02:35:34.166029+00:00
18578.2,18708.72178,36.30178,117.25,18591.47178,2022-02-04 02:45:35.228137+00:00
18578.2,18715.97736,43.55736,117.25,18598.72736,2022-02-04 03:00:06.838088+00:00
18578.2,18726.47372,54.05372,117.25,18609.22372,2022-02-04 03:23:58.670081+00:00
18578.2,18717.20664,44.78664,117.25,18599.95664,2022-02-04 04:00:06.400036+00:00
18578.2,18711.26877,38.84877,117.25,18594.01877,2022-02-04 04:10:02.327896+00:00
18578.2,18716.01762,43.59762,117.25,18598.76762,2022-02-04 04:20:02.959456+00:00
18578.2,18726.93266,54.51266,117.25,18609.68266,2022-02-04 04:30:30.946438+00:00
18578.2,18730.50384,58.08384,117.25,18613.25384,2022-02-04 04:40:03.525154+00:00
18578.2,18730.27966,57.85966,117.25,18613.02966,2022-02-04 04:50:02.359970+00:00
18578.2,18725.49537,53.07537,117.25,18608.24537,2022-02-04 05:00:15.536535+00:00
18578.2,18699.26928,26.84928,117.25,18582.01928,2022-02-04 06:00:08.459938+00:00
18578.2,18693.50662,21.08662,117.25,18576.25662,2022-02-04 06:10:02.819868+00:00
18578.2,18680.80383,8.38383,117.25,18563.55383,2022-02-04 06:51:12.144051+00:00
18578.2,18679.18513,6.76513,117.25,18561.93513,2022-02-04 07:00:14.499468+00:00
18578.2,18675.13884,2.71884,117.25,18557.88884,2022-02-04 07:10:07.451685+00:00
18578.2,18663.9272,-8.4928,117.25,18546.6772,2022-02-04 07:15:08.016207+00:00
18558.22,18666.40468,-6.01532,117.25,18549.15468,2022-02-04 08:00:08.096931+00:00
18554.64,18654.99079,-17.42921,117.25,18537.74079,2022-02-04 08:25:14.231732+00:00
18554.64,18648.14546,-24.27454,117.25,18530.89546,2022-02-04 08:35:09.591429+00:00
18554.64,18644.50856,-27.91144,117.25,18527.25856,2022-02-04 08:45:32.568601+00:00
18554.64,18650.98502,-21.43498,117.25,18533.73502,2022-02-04 09:00:07.670852+00:00
18554.64,18650.04821,-22.37179,117.25,18532.79821,2022-02-04 09:10:02.927685+00:00
18554.64,18646.70223,-25.71777,117.25,18529.45223,2022-02-04 09:20:04.275337+00:00
18554.64,18639.70304,-32.71696,117.25,18522.45304,2022-02-04 09:30:31.022312+00:00
18554.64,18645.72808,-26.69192,117.25,18528.47808,2022-02-04 09:40:10.933455+00:00
18554.64,18635.21339,-37.20661,117.25,18517.96339,2022-02-04 09:50:05.955935+00:00
18554.64,18639.66061,-32.75939,117.25,18522.41061,2022-02-04 10:00:14.320316+00:00
18554.64,18640.49252,-31.92748,117.25,18523.24252,2022-02-04 10:10:15.255733+00:00
18554.64,18642.15237,-30.26763,117.25,18524.90237,2022-02-04 10:20:11.784764+00:00
18554.64,18633.11588,-39.30412,117.25,18515.86588,2022-02-04 11:00:07.265213+00:00
18554.64,18626.5979,-45.8221,117.25,18509.3479,2022-02-04 11:24:24.249853+00:00
18554.64,18641.17016,-31.24984,117.25,18523.92016,2022-02-04 12:00:07.474144+00:00
18554.64,18638.00742,-34.41258,117.25,18520.75742,2022-02-04 12:02:21.792015+00:00
18524.45,18624.25173,-48.16827,117.25,18507.00173,2022-02-04 13:00:07.369556+00:00
18524.45,18621.87116,-50.54884,117.25,18504.62116,2022-02-04 13:10:02.586140+00:00
18524.45,18621.21427,-51.20573,117.25,18503.96427,2022-02-04 13:27:42.144331+00:00
18512.05,18673.31919,0.89919,117.25,18556.06919,2022-02-04 14:00:08.295482+00:00
18512.05,18656.79353,-15.62647,117.25,18539.54353,2022-02-04 14:10:10.960208+00:00
18512.05,18640.19973,-32.22027,117.25,18522.94973,2022-02-04 15:00:09.974037+00:00
18512.05,18644.08062,-28.33938,117.25,18526.83062,2022-02-04 15:10:03.601499+00:00
18512.05,18657.21378,-15.20622,117.25,18539.96378,2022-02-04 16:00:20.311671+00:00
18512.05,18662.25651,-10.16349,117.25,18545.00651,2022-02-04 16:10:21.304903+00:00
18512.05,18656.31757,-16.10243,117.25,18539.06757,2022-02-04 16:20:06.643593+00:00
18512.05,18646.201,-26.219,117.25,18528.951,2022-02-04 16:30:39.268898+00:00
