balance,equity,dayPL,usdMr,usableMargin,date
18513.17,18575.86195,10.21195,117.25,18458.61195,2022-02-11 00:00:22.824923+00:00
18513.17,18576.50063,10.85063,117.25,18459.25063,2022-02-11 00:10:08.915615+00:00
18513.17,18579.89749,14.24749,117.25,18462.64749,2022-02-11 00:15:21.320236+00:00
18513.17,18580.1913,14.5413,117.25,18462.9413,2022-02-11 00:25:07.346378+00:00
18513.17,18580.30638,14.65638,117.25,18463.05638,2022-02-11 00:30:21.506979+00:00
18513.17,18583.06518,17.41518,117.25,18465.81518,2022-02-11 00:40:07.229305+00:00
18513.17,18584.38354,18.73354,117.25,18467.13354,2022-02-11 00:45:22.698172+00:00
18513.17,18582.62219,16.97219,117.25,18465.37219,2022-02-11 00:55:07.914917+00:00
18513.17,18582.0434,16.3934,117.25,18464.7934,2022-02-11 01:00:23.067558+00:00
18513.17,18581.84568,16.19568,117.25,18464.59568,2022-02-11 01:10:07.765969+00:00
18513.17,18582.39802,16.74802,117.25,18465.14802,2022-02-11 01:15:22.057289+00:00
18513.17,18582.94796,17.29796,117.25,18465.69796,2022-02-11 01:25:07.662667+00:00
18513.17,18584.0004,18.3504,117.25,18466.7504,2022-02-11 01:30:22.430722+00:00
18513.17,18578.53807,12.88807,117.25,18461.28807,2022-02-11 01:40:07.986037+00:00
18513.17,18580.91883,15.26883,117.25,18463.66883,2022-02-11 01:45:22.824003+00:00
18513.17,18579.85066,14.20066,117.25,18462.60066,2022-02-11 01:55:08.459554+00:00
18513.17,18578.24278,12.59278,117.25,18460.99278,2022-02-11 02:00:21.304403+00:00
18513.17,18578.2092,12.5592,117.25,18460.9592,2022-02-11 02:10:07.758464+00:00
18513.17,18578.62334,12.97334,117.25,18461.37334,2022-02-11 02:15:21.678296+00:00
18513.17,18571.47872,5.82872,117.25,18454.22872,2022-02-11 02:30:16.474397+00:00
18513.17,18570.96742,5.31742,117.25,18453.71742,2022-02-11 02:40:02.268462+00:00
18513.17,18571.75007,6.10007,117.25,18454.50007,2022-02-11 02:45:21.237169+00:00
18513.17,18572.41157,6.76157,117.25,18455.16157,2022-02-11 03:00:14.493229+00:00
18513.17,18571.33786,5.68786,117.25,18454.08786,2022-02-11 03:15:15.712127+00:00
18513.17,18570.87686,5.22686,117.25,18453.62686,2022-02-11 03:30:18.359242+00:00
18513.17,18575.78604,10.13604,117.25,18458.53604,2022-02-11 03:45:16.820358+00:00
18513.17,18575.64989,9.99989,117.25,18458.39989,2022-02-11 04:00:16.587647+00:00
18494.97,18578.23885,12.58885,117.25,18460.98885,2022-02-11 04:15:16.232246+00:00
18494.97,18579.97994,14.32994,117.25,18462.72994,2022-02-11 04:25:02.842466+00:00
18494.97,18585.15046,19.50046,117.25,18467.90046,2022-02-11 04:30:25.173273+00:00
